# Written by the BoltzWann module of the Wannier90 code.
# The first column.
# The second column is the DOS for a fixed smearing of   0.300000E-01 eV.
# Cell volume (ang^3):     40.3295    
# Energy(eV) DOS [DOS DOS ...]
   -5.157887843      0.4269689416    
   -5.147887843      0.4036376995    
   -5.137887843      0.3633478884    
   -5.127887843      0.3191599192    
   -5.117887843      0.2809892904    
   -5.107887843      0.2535121187    
   -5.097887843      0.2389301007    
   -5.087887843      0.2405549916    
   -5.077887843      0.2625194081    
   -5.067887843      0.3048016530    
   -5.057887843      0.3579042535    
   -5.047887843      0.4032075179    
   -5.037887843      0.4211061433    
   -5.027887843      0.4022608938    
   -5.017887843      0.3534863036    
   -5.007887843      0.2934467050    
   -4.997887843      0.2418684845    
   -4.987887843      0.2105916357    
   -4.977887843      0.2013956835    
   -4.967887843      0.2095766368    
   -4.957887843      0.2294113756    
   -4.947887843      0.2577206830    
   -4.937887843      0.2931509483    
   -4.927887843      0.3317162044    
   -4.917887843      0.3629647792    
   -4.907887843      0.3724040650    
   -4.897887843      0.3509245608    
   -4.887887843      0.3037325173    
   -4.877887843      0.2494459586    
   -4.867887843      0.2088101588    
   -4.857887843      0.1925695133    
   -4.847887843      0.1981706543    
   -4.837887843      0.2163601285    
   -4.827887843      0.2407726077    
   -4.817887843      0.2720787278    
   -4.807887843      0.3131103326    
   -4.797887843      0.3595437979    
   -4.787887843      0.3960006824    
   -4.777887843      0.4033635751    
   -4.767887843      0.3720897414    
   -4.757887843      0.3100669631    
   -4.747887843      0.2387052657    
   -4.737887843      0.1809565160    
   -4.727887843      0.1502290250    
   -4.717887843      0.1470471331    
   -4.707887843      0.1637218135    
   -4.697887843      0.1913868614    
   -4.687887843      0.2236017632    
   -4.677887843      0.2559763813    
   -4.667887843      0.2849064670    
   -4.657887843      0.3068605213    
   -4.647887843      0.3179141072    
   -4.637887843      0.3145361121    
   -4.627887843      0.2962682746    
   -4.617887843      0.2676036399    
   -4.607887843      0.2361490786    
   -4.597887843      0.2085557095    
   -4.587887843      0.1883365623    
   -4.577887843      0.1771389718    
   -4.567887843      0.1770931016    
   -4.557887843      0.1909507326    
   -4.547887843      0.2193422837    
   -4.537887843      0.2577880150    
   -4.527887843      0.2966244011    
   -4.517887843      0.3243384096    
   -4.507887843      0.3321582364    
   -4.497887843      0.3174682371    
   -4.487887843      0.2846949269    
   -4.477887843      0.2433580965    
   -4.467887843      0.2041479653    
   -4.457887843      0.1750320916    
   -4.447887843      0.1593568311    
   -4.437887843      0.1565680468    
   -4.427887843      0.1648476290    
   -4.417887843      0.1840444323    
   -4.407887843      0.2164966499    
   -4.397887843      0.2641493627    
   -4.387887843      0.3237828834    
   -4.377887843      0.3851909449    
   -4.367887843      0.4355949720    
   -4.357887843      0.4678300129    
   -4.347887843      0.4855334022    
   -4.337887843      0.5007427031    
   -4.327887843      0.5259874161    
